Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
9/12/2019,20:00,46
9/12/2019,21:00,52
9/12/2019,22:00,52
9/12/2019,23:00,51
9/12/2019,24:00:00,54
10/12/2019,1:00,55
10/12/2019,2:00,56
10/12/2019,3:00,58
10/12/2019,4:00,58
10/12/2019,5:00,59
10/12/2019,6:00,365
10/12/2019,7:00,500
10/12/2019,8:00,334
10/12/2019,9:00,341
10/12/2019,10:00,849
10/12/2019,11:00,2140
10/12/2019,12:00,1223
10/12/2019,13:00,477
10/12/2019,14:00,379
10/12/2019,15:00,192
10/12/2019,16:00,199
10/12/2019,17:00,100
10/12/2019,18:00,54
10/12/2019,19:00,43
10/12/2019,20:00,33
10/12/2019,21:00,29
10/12/2019,22:00,26
10/12/2019,23:00,23
10/12/2019,24:00:00,22
11/12/2019,1:00,22
11/12/2019,2:00,22
11/12/2019,3:00,21
11/12/2019,4:00,21
11/12/2019,5:00,20
11/12/2019,6:00,17
11/12/2019,7:00,15
11/12/2019,8:00,14
11/12/2019,9:00,14
11/12/2019,10:00,17
11/12/2019,11:00,19
11/12/2019,12:00,25
11/12/2019,13:00,21
11/12/2019,14:00,24
11/12/2019,15:00,24
11/12/2019,16:00,23
11/12/2019,17:00,22
11/12/2019,18:00,21
11/12/2019,19:00,21
11/12/2019,20:00,21
11/12/2019,21:00,22
11/12/2019,22:00,26
11/12/2019,23:00,25
11/12/2019,24:00:00,25
12/12/2019,1:00,25
12/12/2019,2:00,24
12/12/2019,3:00,23
12/12/2019,4:00,22
12/12/2019,5:00,21
12/12/2019,6:00,51
12/12/2019,7:00,71
12/12/2019,8:00,67
12/12/2019,9:00,65
12/12/2019,10:00,62
12/12/2019,11:00,66
12/12/2019,12:00,63
12/12/2019,13:00,60
12/12/2019,14:00,52
12/12/2019,15:00,52
12/12/2019,16:00,54
12/12/2019,17:00,49
12/12/2019,18:00,47
12/12/2019,19:00,47
12/12/2019,20:00,46
12/12/2019,21:00,46
12/12/2019,22:00,45
12/12/2019,23:00,44
12/12/2019,24:00:00,46
13/12/2019,1:00,46
13/12/2019,2:00,44
13/12/2019,3:00,44
13/12/2019,4:00,43
13/12/2019,5:00,43
13/12/2019,6:00,43
13/12/2019,7:00,43
13/12/2019,8:00,44
13/12/2019,9:00,46
13/12/2019,10:00,50
13/12/2019,11:00,46
13/12/2019,12:00,52
13/12/2019,13:00,43
13/12/2019,14:00,45
13/12/2019,15:00,46
13/12/2019,16:00,42
13/12/2019,17:00,44
13/12/2019,18:00,55
13/12/2019,19:00,53
13/12/2019,20:00,53
13/12/2019,21:00,55
13/12/2019,22:00,56
13/12/2019,23:00,57
13/12/2019,24:00:00,53
14/12/2019,1:00,52
14/12/2019,2:00,54
14/12/2019,3:00,53
14/12/2019,4:00,54
14/12/2019,5:00,55
14/12/2019,6:00,56
14/12/2019,7:00,57
14/12/2019,8:00,59
14/12/2019,9:00,58
14/12/2019,10:00,55
14/12/2019,11:00,55
14/12/2019,12:00,53
14/12/2019,13:00,56
14/12/2019,14:00,58
14/12/2019,15:00,57
14/12/2019,16:00,58
14/12/2019,17:00,62
14/12/2019,18:00,51
14/12/2019,19:00,54
14/12/2019,20:00,53
14/12/2019,21:00,51
14/12/2019,22:00,53
14/12/2019,23:00,53
14/12/2019,24:00:00,56
15/12/2019,1:00,56
15/12/2019,2:00,57
15/12/2019,3:00,58
15/12/2019,4:00,63
15/12/2019,5:00,63
15/12/2019,6:00,62
15/12/2019,7:00,62
15/12/2019,8:00,61
15/12/2019,9:00,61
15/12/2019,10:00,60
15/12/2019,11:00,61
15/12/2019,12:00,61
15/12/2019,13:00,62
15/12/2019,14:00,63
15/12/2019,15:00,64
15/12/2019,16:00,67
15/12/2019,17:00,64
15/12/2019,18:00,62
15/12/2019,19:00,62
15/12/2019,20:00,65
15/12/2019,21:00,66
15/12/2019,22:00,65
15/12/2019,23:00,75
15/12/2019,24:00:00,75
16/12/2019,1:00,78
16/12/2019,2:00,82
16/12/2019,3:00,118
16/12/2019,4:00,104
16/12/2019,5:00,109
16/12/2019,6:00,114
